Name,Image_URL,Discounted_Price,orignal_price
Grey/Burgundy Tailored Fit Check Suit: Jacket,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/382529.jpg,£16,£84
Grey/Burgundy Tailored Fit Check Suit: Trousers,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/383482.jpg,£13.50,£45
BOSS Bottled Tonic Eau de Toilette 100ml Gift Set,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/R24904.jpg,£46,£67
Mid Blue Straight Fit Belted Jeans,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/347399.jpg,£20,£40
Khaki Suede Side Stripe Trainers,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/214978.jpg,£12,£30
Navy Pattern Woven Boxers Pure Cotton Four Pack,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/181295.jpg,£14,£28
Brown Leather Panel Lace-Up Shoes,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/795332.jpg,£14,£35
Black Whiskey Graphic Regular Fit T-Shirt,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/695857.jpg,£7,£14
Bright Blue Slim Fit Check Suit: Trousers,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/872134.jpg,£13.50,£45
Bright Blue Slim Fit Check Suit: Jacket,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/361381.jpg,£16,£84
Mid Blue Straight Fit Jeans With Stretch,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/796206.jpg,£17.50,£30
Grey Slim Fit Puppytooth Suit: Trousers,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/844482.jpg,£15,£45
Grey Slim Fit Puppytooth Suit: Jacket,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/856939.jpg,£15,£84
Navy Regular Fit Marzotto Signature Check Suit: Jacket,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/637655.jpg,£42,£140
Yellow Regular Fit Short Sleeve Madras Check Shirt,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/898961.jpg,£6,£25
Black Leather Toe Cap Oxford Shoes,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/864015.jpg,£26,£58
Blue/Brown Tailored Fit Check Suit: Jacket,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/484928.jpg,£32,£84
White Slim Fit Stretch Poplin Shirt,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/328747.jpg,£8,£25
Navy Classic Chino Shorts,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/153354.jpg,£5,£8–£16
Navy Nova Fides Signature Hopsack Slim Fit Blazer,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/162254.jpg,£30,£139
Blue Regular Fit Stripe Linen Blend Short Sleeve Shirt,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/680990.jpg,£6,£25
Bright Blue Regular Fit Check Suit: Jacket,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/360028.jpg,£16,£84
